geocodigo,municipio,uf,area_municipal_km2,area_intersect_apa_km2,pct_area_municipal_na_apa,source_boundary,source_boundary_version,boundary_sha256,ibge_mesh_version,rule
2301307,Araripe,CE,1097.393774,1087.716069,99.1181,https://geoservicos.inde.gov.br/geoserver/wfs?typeNames=ICMBio:limiteucsfederais_a,DEC S/N de 04/08/1997,9077dbeb4de357c307958ca5bf9428ee76aa217c0a9bb2c3d409279195ca0781,IBGE API v3 malhas (qualidade=maxima),area_intersect_apa_km2 > 0
2311959,Salitre,CE,806.230739,797.716341,98.9439,https://geoservicos.inde.gov.br/geoserver/wfs?typeNames=ICMBio:limiteucsfederais_a,DEC S/N de 04/08/1997,9077dbeb4de357c307958ca5bf9428ee76aa217c0a9bb2c3d409279195ca0781,IBGE API v3 malhas (qualidade=maxima),area_intersect_apa_km2 > 0
2202091,Caldeirão Grande do Piauí,PI,466.946371,447.641499,95.8657,https://geoservicos.inde.gov.br/geoserver/wfs?typeNames=ICMBio:limiteucsfederais_a,DEC S/N de 04/08/1997,9077dbeb4de357c307958ca5bf9428ee76aa217c0a9bb2c3d409279195ca0781,IBGE API v3 malhas (qualidade=maxima),area_intersect_apa_km2 > 0
2205953,Marcolândia,PI,136.820391,129.305359,94.5074,https://geoservicos.inde.gov.br/geoserver/wfs?typeNames=ICMBio:limiteucsfederais_a,DEC S/N de 04/08/1997,9077dbeb4de357c307958ca5bf9428ee76aa217c0a9bb2c3d409279195ca0781,IBGE API v3 malhas (qualidade=maxima),area_intersect_apa_km2 > 0
2312106,Santana do Cariri,CE,855.147766,806.979359,94.3672,https://geoservicos.inde.gov.br/geoserver/wfs?typeNames=ICMBio:limiteucsfederais_a,DEC S/N de 04/08/1997,9077dbeb4de357c307958ca5bf9428ee76aa217c0a9bb2c3d409279195ca0781,IBGE API v3 malhas (qualidade=maxima),area_intersect_apa_km2 > 0
2307106,Jardim,CE,544.932921,498.366315,91.4546,https://geoservicos.inde.gov.br/geoserver/wfs?typeNames=ICMBio:limiteucsfederais_a,DEC S/N de 04/08/1997,9077dbeb4de357c307958ca5bf9428ee76aa217c0a9bb2c3d409279195ca0781,IBGE API v3 malhas (qualidade=maxima),area_intersect_apa_km2 > 0
2311207,Potengi,CE,343.235772,277.84926,80.95,https://geoservicos.inde.gov.br/geoserver/wfs?typeNames=ICMBio:limiteucsfederais_a,DEC S/N de 04/08/1997,9077dbeb4de357c307958ca5bf9428ee76aa217c0a9bb2c3d409279195ca0781,IBGE API v3 malhas (qualidade=maxima),area_intersect_apa_km2 > 0
2607307,Ipubi,PE,693.985193,523.388877,75.4179,https://geoservicos.inde.gov.br/geoserver/wfs?typeNames=ICMBio:limiteucsfederais_a,DEC S/N de 04/08/1997,9077dbeb4de357c307958ca5bf9428ee76aa217c0a9bb2c3d409279195ca0781,IBGE API v3 malhas (qualidade=maxima),area_intersect_apa_km2 > 0
2311108,Porteiras,CE,224.908393,143.168469,63.6563,https://geoservicos.inde.gov.br/geoserver/wfs?typeNames=ICMBio:limiteucsfederais_a,DEC S/N de 04/08/1997,9077dbeb4de357c307958ca5bf9428ee76aa217c0a9bb2c3d409279195ca0781,IBGE API v3 malhas (qualidade=maxima),area_intersect_apa_km2 > 0
2601102,Araripina,PE,2037.478984,1226.224474,60.1834,https://geoservicos.inde.gov.br/geoserver/wfs?typeNames=ICMBio:limiteucsfederais_a,DEC S/N de 04/08/1997,9077dbeb4de357c307958ca5bf9428ee76aa217c0a9bb2c3d409279195ca0781,IBGE API v3 malhas (qualidade=maxima),area_intersect_apa_km2 > 0
