geocodigo,municipio,uf,source
2300101,Abaiara,CE,"data/snapshots/era5_grid_weights_chapada_v1/era5_cell_weights.csv (geocodigo unicos); exclusao documentada em manifest.json (excluded_geocodigos, 44 - 15 = 29 mantidos, uf CE apenas)"
2300606,Altaneira,CE,"data/snapshots/era5_grid_weights_chapada_v1/era5_cell_weights.csv (geocodigo unicos); exclusao documentada em manifest.json (excluded_geocodigos, 44 - 15 = 29 mantidos, uf CE apenas)"
2300804,Antonina do Norte,CE,"data/snapshots/era5_grid_weights_chapada_v1/era5_cell_weights.csv (geocodigo unicos); exclusao documentada em manifest.json (excluded_geocodigos, 44 - 15 = 29 mantidos, uf CE apenas)"
2301307,Araripe,CE,"data/snapshots/era5_grid_weights_chapada_v1/era5_cell_weights.csv (geocodigo unicos); exclusao documentada em manifest.json (excluded_geocodigos, 44 - 15 = 29 mantidos, uf CE apenas)"
2301604,Assaré,CE,"data/snapshots/era5_grid_weights_chapada_v1/era5_cell_weights.csv (geocodigo unicos); exclusao documentada em manifest.json (excluded_geocodigos, 44 - 15 = 29 mantidos, uf CE apenas)"
2301703,Aurora,CE,"data/snapshots/era5_grid_weights_chapada_v1/era5_cell_weights.csv (geocodigo unicos); exclusao documentada em manifest.json (excluded_geocodigos, 44 - 15 = 29 mantidos, uf CE apenas)"
2301802,Baixio,CE,"data/snapshots/era5_grid_weights_chapada_v1/era5_cell_weights.csv (geocodigo unicos); exclusao documentada em manifest.json (excluded_geocodigos, 44 - 15 = 29 mantidos, uf CE apenas)"
2301901,Barbalha,CE,"data/snapshots/era5_grid_weights_chapada_v1/era5_cell_weights.csv (geocodigo unicos); exclusao documentada em manifest.json (excluded_geocodigos, 44 - 15 = 29 mantidos, uf CE apenas)"
2302008,Barro,CE,"data/snapshots/era5_grid_weights_chapada_v1/era5_cell_weights.csv (geocodigo unicos); exclusao documentada em manifest.json (excluded_geocodigos, 44 - 15 = 29 mantidos, uf CE apenas)"
2302503,Brejo Santo,CE,"data/snapshots/era5_grid_weights_chapada_v1/era5_cell_weights.csv (geocodigo unicos); exclusao documentada em manifest.json (excluded_geocodigos, 44 - 15 = 29 mantidos, uf CE apenas)"
2302701,Campos Sales,CE,"data/snapshots/era5_grid_weights_chapada_v1/era5_cell_weights.csv (geocodigo unicos); exclusao documentada em manifest.json (excluded_geocodigos, 44 - 15 = 29 mantidos, uf CE apenas)"
2303204,Caririaçu,CE,"data/snapshots/era5_grid_weights_chapada_v1/era5_cell_weights.csv (geocodigo unicos); exclusao documentada em manifest.json (excluded_geocodigos, 44 - 15 = 29 mantidos, uf CE apenas)"
2304202,Crato,CE,"data/snapshots/era5_grid_weights_chapada_v1/era5_cell_weights.csv (geocodigo unicos); exclusao documentada em manifest.json (excluded_geocodigos, 44 - 15 = 29 mantidos, uf CE apenas)"
2304301,Farias Brito,CE,"data/snapshots/era5_grid_weights_chapada_v1/era5_cell_weights.csv (geocodigo unicos); exclusao documentada em manifest.json (excluded_geocodigos, 44 - 15 = 29 mantidos, uf CE apenas)"
2305704,Ipaumirim,CE,"data/snapshots/era5_grid_weights_chapada_v1/era5_cell_weights.csv (geocodigo unicos); exclusao documentada em manifest.json (excluded_geocodigos, 44 - 15 = 29 mantidos, uf CE apenas)"
2307106,Jardim,CE,"data/snapshots/era5_grid_weights_chapada_v1/era5_cell_weights.csv (geocodigo unicos); exclusao documentada em manifest.json (excluded_geocodigos, 44 - 15 = 29 mantidos, uf CE apenas)"
2307205,Jati,CE,"data/snapshots/era5_grid_weights_chapada_v1/era5_cell_weights.csv (geocodigo unicos); exclusao documentada em manifest.json (excluded_geocodigos, 44 - 15 = 29 mantidos, uf CE apenas)"
2307304,Juazeiro do Norte,CE,"data/snapshots/era5_grid_weights_chapada_v1/era5_cell_weights.csv (geocodigo unicos); exclusao documentada em manifest.json (excluded_geocodigos, 44 - 15 = 29 mantidos, uf CE apenas)"
2307502,Lavras da Mangabeira,CE,"data/snapshots/era5_grid_weights_chapada_v1/era5_cell_weights.csv (geocodigo unicos); exclusao documentada em manifest.json (excluded_geocodigos, 44 - 15 = 29 mantidos, uf CE apenas)"
2308104,Mauriti,CE,"data/snapshots/era5_grid_weights_chapada_v1/era5_cell_weights.csv (geocodigo unicos); exclusao documentada em manifest.json (excluded_geocodigos, 44 - 15 = 29 mantidos, uf CE apenas)"
2308302,Milagres,CE,"data/snapshots/era5_grid_weights_chapada_v1/era5_cell_weights.csv (geocodigo unicos); exclusao documentada em manifest.json (excluded_geocodigos, 44 - 15 = 29 mantidos, uf CE apenas)"
2308401,Missão Velha,CE,"data/snapshots/era5_grid_weights_chapada_v1/era5_cell_weights.csv (geocodigo unicos); exclusao documentada em manifest.json (excluded_geocodigos, 44 - 15 = 29 mantidos, uf CE apenas)"
2309201,Nova Olinda,CE,"data/snapshots/era5_grid_weights_chapada_v1/era5_cell_weights.csv (geocodigo unicos); exclusao documentada em manifest.json (excluded_geocodigos, 44 - 15 = 29 mantidos, uf CE apenas)"
2310605,Penaforte,CE,"data/snapshots/era5_grid_weights_chapada_v1/era5_cell_weights.csv (geocodigo unicos); exclusao documentada em manifest.json (excluded_geocodigos, 44 - 15 = 29 mantidos, uf CE apenas)"
2311108,Porteiras,CE,"data/snapshots/era5_grid_weights_chapada_v1/era5_cell_weights.csv (geocodigo unicos); exclusao documentada em manifest.json (excluded_geocodigos, 44 - 15 = 29 mantidos, uf CE apenas)"
2311959,Salitre,CE,"data/snapshots/era5_grid_weights_chapada_v1/era5_cell_weights.csv (geocodigo unicos); exclusao documentada em manifest.json (excluded_geocodigos, 44 - 15 = 29 mantidos, uf CE apenas)"
2312106,Santana do Cariri,CE,"data/snapshots/era5_grid_weights_chapada_v1/era5_cell_weights.csv (geocodigo unicos); exclusao documentada em manifest.json (excluded_geocodigos, 44 - 15 = 29 mantidos, uf CE apenas)"
2313252,Tarrafas,CE,"data/snapshots/era5_grid_weights_chapada_v1/era5_cell_weights.csv (geocodigo unicos); exclusao documentada em manifest.json (excluded_geocodigos, 44 - 15 = 29 mantidos, uf CE apenas)"
2313708,Umari,CE,"data/snapshots/era5_grid_weights_chapada_v1/era5_cell_weights.csv (geocodigo unicos); exclusao documentada em manifest.json (excluded_geocodigos, 44 - 15 = 29 mantidos, uf CE apenas)"
