ano,mes,nino34_anomaly,enso_regime,enso_prob_el_nino,enso_prob_la_nina,enso_strength
1982,1,0.08,neutral,53,46,0.08
1982,2,-0.2,neutral,42,58,0.2
1982,3,-0.14,neutral,44,55,0.14
1982,4,0.02,neutral,50,49,0.02
1982,5,0.49,neutral,69,30,0.49
1982,6,0.65,el_nino,76,24,0.65
1982,7,0.27,neutral,60,39,0.27
1982,8,0.86,el_nino,84,15,0.86
1982,9,1.24,el_nino,95,5,1.24
1982,10,1.73,el_nino,95,5,1.73
1982,11,1.68,el_nino,95,5,1.68
1982,12,2.21,el_nino,95,5,2.21
1983,1,2.13,el_nino,95,5,2.13
1983,2,1.81,el_nino,95,5,1.81
1983,3,1.22,el_nino,95,5,1.22
1983,4,0.68,el_nino,77,22,0.68
1983,5,0.68,el_nino,77,22,0.68
1983,6,0.45,neutral,68,32,0.45
1983,7,-0.33,neutral,36,63,0.33
1983,8,-0.44,neutral,32,67,0.44
1983,9,-0.38,neutral,34,65,0.38
1983,10,-1.02,la_nina,9,90,1.02
1983,11,-1.29,la_nina,5,95,1.29
1983,12,-1.16,la_nina,5,95,1.16
1984,1,-0.96,la_nina,11,88,0.96
1984,2,-0.16,neutral,43,56,0.16
1984,3,-0.52,la_nina,29,70,0.52
1984,4,-0.54,la_nina,28,71,0.54
1984,5,-0.69,la_nina,22,77,0.69
1984,6,-1.03,la_nina,8,91,1.03
1984,7,-0.68,la_nina,22,77,0.68
1984,8,-0.54,la_nina,28,71,0.54
1984,9,-0.41,neutral,33,66,0.41
1984,10,-0.75,la_nina,20,80,0.75
1984,11,-1.3,la_nina,5,95,1.3
1984,12,-1.48,la_nina,5,95,1.48
1985,1,-1.3,la_nina,5,95,1.3
1985,2,-0.92,la_nina,13,86,0.92
1985,3,-0.89,la_nina,14,85,0.89
1985,4,-1.1,la_nina,6,94,1.1
1985,5,-1.08,la_nina,6,93,1.08
1985,6,-1.08,la_nina,6,93,1.08
1985,7,-0.8,la_nina,18,82,0.8
1985,8,-0.63,la_nina,24,75,0.63
1985,9,-0.77,la_nina,19,80,0.77
1985,10,-0.74,la_nina,20,79,0.74
1985,11,-0.59,la_nina,26,73,0.59
1985,12,-0.59,la_nina,26,73,0.59
1986,1,-0.72,la_nina,21,78,0.72
1986,2,-0.78,la_nina,18,81,0.78
1986,3,-0.6,la_nina,26,74,0.6
1986,4,-0.52,la_nina,29,70,0.52
1986,5,-0.56,la_nina,27,72,0.56
1986,6,-0.33,neutral,36,63,0.33
1986,7,-0.04,neutral,48,51,0.04
1986,8,0.19,neutral,57,42,0.19
1986,9,0.4,neutral,66,34,0.4
1986,10,0.51,el_nino,70,29,0.51
1986,11,0.54,el_nino,71,28,0.54
1986,12,0.82,el_nino,82,17,0.82
1987,1,0.94,el_nino,87,12,0.94
1987,2,0.82,el_nino,82,17,0.82
1987,3,0.89,el_nino,85,14,0.89
1987,4,0.45,neutral,68,32,0.45
1987,5,0.32,neutral,62,37,0.32
1987,6,0.72,el_nino,78,21,0.72
1987,7,1.04,el_nino,91,8,1.04
1987,8,1.2,el_nino,95,5,1.2
1987,9,1.32,el_nino,95,5,1.32
1987,10,0.97,el_nino,88,11,0.97
1987,11,0.85,el_nino,84,16,0.85
1987,12,0.77,el_nino,80,19,0.77
1988,1,0.67,el_nino,76,23,0.67
1988,2,0.22,neutral,58,41,0.22
1988,3,0.06,neutral,52,47,0.06
1988,4,-0.55,la_nina,28,72,0.55
1988,5,-1.32,la_nina,5,95,1.32
1988,6,-1.7,la_nina,5,95,1.7
1988,7,-1.73,la_nina,5,95,1.73
1988,8,-1.43,la_nina,5,95,1.43
1988,9,-0.93,la_nina,12,87,0.93
1988,10,-2.01,la_nina,5,95,2.01
1988,11,-2.22,la_nina,5,95,2.22
1988,12,-2.01,la_nina,5,95,2.01
1989,1,-2.0,la_nina,5,95,2.0
1989,2,-1.48,la_nina,5,95,1.48
