uf,year,n_files_ok,n_rows,n_municipios_seen,n_months_seen
CE,2003,1,11626,179,12
CE,2004,1,10582,182,12
CE,2005,1,8524,178,12
CE,2006,1,6167,180,11
CE,2007,1,7527,182,12
CE,2008,1,7631,180,9
CE,2009,1,5447,173,10
CE,2010,1,4934,178,12
CE,2011,1,4798,179,12
CE,2012,1,4308,181,12
CE,2013,1,2831,175,12
CE,2014,1,2327,173,12
CE,2015,1,3158,173,11
CE,2016,1,4316,177,12
CE,2017,1,3486,168,12
CE,2018,1,3034,170,12
CE,2019,1,4304,175,12
CE,2020,1,3979,180,11
CE,2021,1,4379,178,12
CE,2022,1,4136,176,12
CE,2023,1,6808,179,12
CE,2024,1,7160,177,12
PE,2003,1,2770,142,12
PE,2004,1,2003,138,12
PE,2005,1,1811,131,12
PE,2006,1,1759,134,12
PE,2007,1,2157,124,12
PE,2008,1,1620,144,12
PE,2009,1,1714,152,12
PE,2010,1,1919,122,12
PE,2011,1,1722,139,12
PE,2012,1,1185,135,12
PE,2013,1,696,103,12
PE,2014,1,593,107,12
PE,2015,1,950,140,12
PE,2016,1,874,138,12
PE,2017,1,563,97,12
PE,2018,1,722,137,12
PE,2019,1,840,125,12
PE,2020,1,1017,126,12
PE,2021,1,1192,128,12
PE,2022,1,1155,107,12
PE,2023,1,1834,125,12
PE,2024,1,2057,148,12
PI,2003,1,10858,221,12
PI,2004,1,11186,219,12
PI,2005,1,11874,221,12
PI,2006,1,7867,219,12
PI,2007,1,17978,223,12
PI,2008,1,6656,218,12
PI,2009,1,6541,218,12
PI,2010,1,19192,221,12
PI,2011,1,11163,219,12
PI,2012,1,14537,214,12
PI,2013,1,6484,207,12
PI,2014,1,9210,210,12
PI,2015,1,13839,210,12
PI,2016,1,8303,215,12
PI,2017,1,7657,209,12
PI,2018,1,9431,215,12
PI,2019,1,10894,223,12
PI,2020,1,9317,220,12
PI,2021,1,12745,220,12
PI,2022,1,10866,217,12
PI,2023,1,12957,220,12
PI,2024,1,10587,218,12
