geocodigo,uf,municipio,ano,mes,fire_count,observed
2300101,CE,Abaiara,2003,1,0,True
2300101,CE,Abaiara,2003,2,0,True
2300101,CE,Abaiara,2003,3,0,True
2300101,CE,Abaiara,2003,4,0,True
2300101,CE,Abaiara,2003,5,0,True
2300101,CE,Abaiara,2003,6,0,True
2300101,CE,Abaiara,2003,7,0,True
2300101,CE,Abaiara,2003,8,1,True
2300101,CE,Abaiara,2003,9,0,True
2300101,CE,Abaiara,2003,10,0,True
2300101,CE,Abaiara,2003,11,13,True
2300101,CE,Abaiara,2003,12,2,True
2300101,CE,Abaiara,2004,1,0,True
2300101,CE,Abaiara,2004,2,0,True
2300101,CE,Abaiara,2004,3,0,True
2300101,CE,Abaiara,2004,4,0,True
2300101,CE,Abaiara,2004,5,0,True
2300101,CE,Abaiara,2004,6,0,True
2300101,CE,Abaiara,2004,7,0,True
2300101,CE,Abaiara,2004,8,0,True
2300101,CE,Abaiara,2004,9,0,True
2300101,CE,Abaiara,2004,10,5,True
2300101,CE,Abaiara,2004,11,4,True
2300101,CE,Abaiara,2004,12,6,True
2300101,CE,Abaiara,2005,1,1,True
2300101,CE,Abaiara,2005,2,0,True
2300101,CE,Abaiara,2005,3,0,True
2300101,CE,Abaiara,2005,4,0,True
2300101,CE,Abaiara,2005,5,0,True
2300101,CE,Abaiara,2005,6,0,True
2300101,CE,Abaiara,2005,7,0,True
2300101,CE,Abaiara,2005,8,0,True
2300101,CE,Abaiara,2005,9,0,True
2300101,CE,Abaiara,2005,10,0,True
2300101,CE,Abaiara,2005,11,2,True
2300101,CE,Abaiara,2005,12,4,True
2300101,CE,Abaiara,2006,1,0,True
2300101,CE,Abaiara,2006,2,0,True
2300101,CE,Abaiara,2006,3,0,True
2300101,CE,Abaiara,2006,4,0,True
2300101,CE,Abaiara,2006,5,0,True
2300101,CE,Abaiara,2006,6,0,True
2300101,CE,Abaiara,2006,7,1,True
2300101,CE,Abaiara,2006,8,1,True
2300101,CE,Abaiara,2006,9,0,True
2300101,CE,Abaiara,2006,10,0,True
2300101,CE,Abaiara,2006,11,2,True
2300101,CE,Abaiara,2006,12,2,True
2300101,CE,Abaiara,2007,1,0,True
2300101,CE,Abaiara,2007,2,0,True
2300101,CE,Abaiara,2007,3,0,True
2300101,CE,Abaiara,2007,4,0,True
2300101,CE,Abaiara,2007,5,0,True
2300101,CE,Abaiara,2007,6,0,True
2300101,CE,Abaiara,2007,7,0,True
2300101,CE,Abaiara,2007,8,0,True
2300101,CE,Abaiara,2007,9,0,True
2300101,CE,Abaiara,2007,10,0,True
2300101,CE,Abaiara,2007,11,0,True
2300101,CE,Abaiara,2007,12,3,True
2300101,CE,Abaiara,2008,1,0,True
2300101,CE,Abaiara,2008,2,0,True
2300101,CE,Abaiara,2008,3,0,True
2300101,CE,Abaiara,2008,4,0,True
2300101,CE,Abaiara,2008,5,0,True
2300101,CE,Abaiara,2008,6,0,True
2300101,CE,Abaiara,2008,7,0,True
