municipio_raw,estado_raw,uf_from_estado,name_key,geocodigo,status,reason,total_fire_count
ABAIARA,CEARÁ,CE,abaiara,2300101,RESOLVED,,182
ACARAPE,CEARÁ,CE,acarape,2300150,RESOLVED,,265
ACARAÚ,CEARÁ,CE,acarau,2300200,RESOLVED,,1351
ACOPIARA,CEARÁ,CE,acopiara,2300309,RESOLVED,,581
AIUABA,CEARÁ,CE,aiuaba,2300408,RESOLVED,,372
ALCÂNTARAS,CEARÁ,CE,alcantaras,2300507,RESOLVED,,261
ALTANEIRA,CEARÁ,CE,altaneira,2300606,RESOLVED,,37
ALTO SANTO,CEARÁ,CE,alto santo,2300705,RESOLVED,,275
AMONTADA,CEARÁ,CE,amontada,2300754,RESOLVED,,2000
ANTONINA DO NORTE,CEARÁ,CE,antonina do norte,2300804,RESOLVED,,60
APUIARÉS,CEARÁ,CE,apuiares,2300903,RESOLVED,,513
AQUIRAZ,CEARÁ,CE,aquiraz,2301000,RESOLVED,,360
ARACATI,CEARÁ,CE,aracati,2301109,RESOLVED,,513
ARACOIABA,CEARÁ,CE,aracoiaba,2301208,RESOLVED,,790
ARARENDÁ,CEARÁ,CE,ararenda,2301257,RESOLVED,,540
ARARIPE,CEARÁ,CE,araripe,2301307,RESOLVED,,1017
ARATUBA,CEARÁ,CE,aratuba,2301406,RESOLVED,,166
ARNEIROZ,CEARÁ,CE,arneiroz,2301505,RESOLVED,,118
ASSARÉ,CEARÁ,CE,assare,2301604,RESOLVED,,437
AURORA,CEARÁ,CE,aurora,2301703,RESOLVED,,461
BAIXIO,CEARÁ,CE,baixio,2301802,RESOLVED,,143
BANABUIÚ,CEARÁ,CE,banabuiu,2301851,RESOLVED,,311
BARBALHA,CEARÁ,CE,barbalha,2301901,RESOLVED,,361
BARREIRA,CEARÁ,CE,barreira,2301950,RESOLVED,,137
BARRO,CEARÁ,CE,barro,2302008,RESOLVED,,299
BARROQUINHA,CEARÁ,CE,barroquinha,2302057,RESOLVED,,980
BATURITÉ,CEARÁ,CE,baturite,2302107,RESOLVED,,555
BEBERIBE,CEARÁ,CE,beberibe,2302206,RESOLVED,,634
BELA CRUZ,CEARÁ,CE,bela cruz,2302305,RESOLVED,,783
BOA VIAGEM,CEARÁ,CE,boa viagem,2302404,RESOLVED,,4743
BREJO SANTO,CEARÁ,CE,brejo santo,2302503,RESOLVED,,306
CAMOCIM,CEARÁ,CE,camocim,2302602,RESOLVED,,1159
CAMPOS SALES,CEARÁ,CE,campos sales,2302701,RESOLVED,,233
CANINDÉ,CEARÁ,CE,caninde,2302800,RESOLVED,,2681
CAPISTRANO,CEARÁ,CE,capistrano,2302909,RESOLVED,,494
CARIDADE,CEARÁ,CE,caridade,2303006,RESOLVED,,448
CARIRIAÇU,CEARÁ,CE,caririacu,2303204,RESOLVED,,526
CARIRÉ,CEARÁ,CE,carire,2303105,RESOLVED,,1845
CARIÚS,CEARÁ,CE,carius,2303303,RESOLVED,,746
CARNAUBAL,CEARÁ,CE,carnaubal,2303402,RESOLVED,,138
CASCAVEL,CEARÁ,CE,cascavel,2303501,RESOLVED,,488
