geocodigo,municipio_ibge,uf,ano,mes,fire_count,frp_sum,frp_mean,frp_max,risco_fogo_mean,dias_sem_chuva_mean,assumed_zero,target_source,suspect_gap
2300101,Abaiara,CE,2002,10,7.0,444.3,63.471428571428575,229.3,,,False,inpe_bdq_legacy,False
2300101,Abaiara,CE,2002,11,6.0,243.1,40.516666666666666,115.6,,,False,inpe_bdq_legacy,False
2300101,Abaiara,CE,2002,12,3.0,65.2,21.733333333333334,39.6,,,False,inpe_bdq_legacy,False
2300101,Abaiara,CE,2003,1,0.0,0.0,,,,,True,inpe_bdq_legacy,False
2300101,Abaiara,CE,2003,2,0.0,0.0,,,,,True,inpe_bdq_legacy,False
2300101,Abaiara,CE,2003,3,0.0,0.0,,,,,True,inpe_bdq_legacy,False
2300101,Abaiara,CE,2003,4,0.0,0.0,,,,,True,inpe_bdq_legacy,False
2300101,Abaiara,CE,2003,5,0.0,0.0,,,,,True,inpe_bdq_legacy,False
2300101,Abaiara,CE,2003,6,0.0,0.0,,,,,True,inpe_bdq_legacy,False
2300101,Abaiara,CE,2003,7,0.0,0.0,,,,,True,inpe_bdq_legacy,False
2300101,Abaiara,CE,2003,8,1.0,48.0,48.0,48.0,,,False,inpe_bdq_legacy,False
2300101,Abaiara,CE,2003,9,0.0,0.0,,,,,True,inpe_bdq_legacy,False
2300101,Abaiara,CE,2003,10,0.0,0.0,,,,,True,inpe_bdq_legacy,False
2300101,Abaiara,CE,2003,11,13.0,1032.5,79.42307692307692,367.9,,,False,inpe_bdq_legacy,False
2300101,Abaiara,CE,2003,12,2.0,46.0,23.0,35.6,,,False,inpe_bdq_legacy,False
2300101,Abaiara,CE,2004,1,0.0,0.0,,,,,True,inpe_bdq_legacy,False
2300101,Abaiara,CE,2004,2,0.0,0.0,,,,,True,inpe_bdq_legacy,False
2300101,Abaiara,CE,2004,3,0.0,0.0,,,,,True,inpe_bdq_legacy,False
2300101,Abaiara,CE,2004,4,0.0,0.0,,,,,True,inpe_bdq_legacy,False
2300101,Abaiara,CE,2004,5,0.0,0.0,,,,,True,inpe_bdq_legacy,False
2300101,Abaiara,CE,2004,6,0.0,0.0,,,,,True,inpe_bdq_legacy,False
2300101,Abaiara,CE,2004,7,0.0,0.0,,,,,True,inpe_bdq_legacy,False
2300101,Abaiara,CE,2004,8,0.0,0.0,,,,,True,inpe_bdq_legacy,False
2300101,Abaiara,CE,2004,9,0.0,0.0,,,,,True,inpe_bdq_legacy,False
2300101,Abaiara,CE,2004,10,5.0,524.3,104.85999999999999,234.7,,,False,inpe_bdq_legacy,False
2300101,Abaiara,CE,2004,11,4.0,163.3,40.825,58.2,,,False,inpe_bdq_legacy,False
2300101,Abaiara,CE,2004,12,6.0,202.5,33.75,81.0,,,False,inpe_bdq_legacy,False
2300101,Abaiara,CE,2005,1,1.0,14.9,14.9,14.9,,,False,inpe_bdq_legacy,False
2300101,Abaiara,CE,2005,2,0.0,0.0,,,,,True,inpe_bdq_legacy,False
2300101,Abaiara,CE,2005,3,0.0,0.0,,,,,True,inpe_bdq_legacy,False
2300101,Abaiara,CE,2005,4,0.0,0.0,,,,,True,inpe_bdq_legacy,False
2300101,Abaiara,CE,2005,5,0.0,0.0,,,,,True,inpe_bdq_legacy,False
2300101,Abaiara,CE,2005,6,0.0,0.0,,,,,True,inpe_bdq_legacy,False
2300101,Abaiara,CE,2005,7,0.0,0.0,,,,,True,inpe_bdq_legacy,False
2300101,Abaiara,CE,2005,8,0.0,0.0,,,,,True,inpe_bdq_legacy,False
2300101,Abaiara,CE,2005,9,0.0,0.0,,,,,True,inpe_bdq_legacy,False
