name,method,window,alpha,usable,n_folds,min_fold_coverage,mean_fold_coverage,max_fold_coverage,min_fold_uf_coverage,mean_width
normalized_expanding,normalized,,0.02,True,4,0.9490740740740741,0.9606481481481481,0.9768518518518519,0.9416666666666667,7.679633632081504
normalized_rolling_36,normalized,36.0,0.02,True,4,0.9537037037037037,0.9664351851851851,0.9791666666666666,0.9398148148148148,8.774588269551582
rolling_mondrian_48,mondrian,48.0,0.02,True,4,0.9537037037037037,0.9635416666666666,0.9768518518518519,0.9375,7.111562361162616
normalized_rolling_36,normalized,36.0,0.03,True,4,0.9398148148148148,0.9525462962962963,0.9675925925925926,0.9259259259259259,7.472949092072196
rolling_mondrian_24,mondrian,24.0,0.02,True,4,0.9629629629629629,0.970486111111111,0.9837962962962963,0.9166666666666666,7.667069332395242
normalized_expanding,normalized,,0.03,True,4,0.9189814814814815,0.9386574074074074,0.9606481481481481,0.9166666666666666,6.459402619466027
rolling_mondrian_36,mondrian,36.0,0.02,True,4,0.9513888888888888,0.9641203703703703,0.9837962962962963,0.90625,7.320610862871588
adaptive_aci_expanding,adaptive_aci,,0.02,True,4,0.9398148148148148,0.9560185185185185,0.9768518518518519,0.90625,6.658693746445563
normalized_rolling_36,normalized,36.0,0.04,True,4,0.9120370370370371,0.9346064814814814,0.9606481481481481,0.8981481481481481,6.554596131946839
rolling_mondrian_24,mondrian,24.0,0.03,True,4,0.9398148148148148,0.9519675925925926,0.9768518518518519,0.8958333333333334,6.877955205302498
expanding_mondrian,mondrian,,0.02,True,4,0.9351851851851852,0.9537037037037037,0.9791666666666666,0.8958333333333334,6.468204493317475
normalized_rolling_36,normalized,36.0,0.05,True,4,0.9004629629629629,0.9224537037037036,0.9421296296296297,0.8958333333333334,6.019849609649803
rolling_mondrian_36,mondrian,36.0,0.03,True,4,0.9398148148148148,0.9502314814814815,0.9675925925925926,0.8854166666666666,6.378609211759436
rolling_mondrian_48,mondrian,48.0,0.03,True,4,0.9351851851851852,0.9438657407407407,0.9675925925925926,0.8854166666666666,6.07918341614531
rolling_mondrian_24,mondrian,24.0,0.04,True,4,0.9282407407407407,0.9403935185185186,0.9629629629629629,0.8854166666666666,6.244386458820083
normalized_expanding,normalized,,0.04,True,4,0.8912037037037037,0.9178240740740741,0.9467592592592593,0.8842592592592593,5.719774836279277
adaptive_aci_expanding,adaptive_aci,,0.03,True,4,0.9236111111111112,0.9380787037037037,0.9606481481481481,0.875,5.874445330956059
rolling_mondrian_36,mondrian,36.0,0.04,True,4,0.9189814814814815,0.9328703703703705,0.9606481481481481,0.875,5.691187024051696
expanding_mondrian,mondrian,,0.03,True,4,0.9074074074074074,0.9322916666666667,0.9583333333333334,0.875,5.723433972806694
adaptive_aci_expanding,adaptive_aci,,0.04,True,4,0.8912037037037037,0.9160879629629629,0.9467592592592593,0.875,5.3911249234106275
normalized_expanding,normalized,,0.05,True,4,0.875,0.9033564814814815,0.9282407407407407,0.8657407407407407,5.2601495700142715
expanding_mondrian,mondrian,,0.04,True,4,0.8842592592592593,0.9126157407407407,0.9467592592592593,0.8645833333333334,5.241560160618569
rolling_mondrian_48,mondrian,48.0,0.04,True,4,0.9189814814814815,0.9311342592592592,0.9629629629629629,0.8541666666666666,5.5966601888994845
rolling_mondrian_24,mondrian,24.0,0.05,True,4,0.9143518518518519,0.9270833333333334,0.9537037037037037,0.8541666666666666,5.598042123021466
rolling_mondrian_48,mondrian,48.0,0.05,True,4,0.8912037037037037,0.9149305555555556,0.9444444444444444,0.8541666666666666,5.140453399870857
rolling_mondrian_36,mondrian,36.0,0.05,True,4,0.9097222222222222,0.921875,0.9444444444444444,0.84375,5.278922763637417
adaptive_aci_expanding,adaptive_aci,,0.05,True,4,0.8726851851851852,0.8998842592592593,0.9305555555555556,0.8333333333333334,5.0212801222515155
expanding_mondrian,mondrian,,0.05,True,4,0.8657407407407407,0.8964120370370371,0.9305555555555556,0.8333333333333334,4.882187062563781
