cut,ano,mes,observed_trailing_12m,expected_trailing_12m,raw_ratio,applied_ratio,n_prior_rows,n_test_rows
2015-01,2015,1,462.0,1168.1858585858586,0.44315270998738354,0.5,372,31
2015-02,2015,2,484.0,1167.5343434343436,0.46073702304402325,0.5,372,31
2015-03,2015,3,485.0,1167.541919191919,0.4615231978859903,0.5,372,31
2015-04,2015,4,488.0,1167.731313131313,0.46382068022571143,0.5,372,31
2015-05,2015,5,487.0,1167.670707070707,0.463054006632701,0.5,372,31
2015-06,2015,6,488.0,1167.6479797979798,0.46385117112221275,0.5,372,31
2015-07,2015,7,486.0,1167.390404040404,0.46236739534388843,0.5,372,31
2015-08,2015,8,486.0,1167.126418026418,0.4624637223748441,0.5,372,30
2015-09,2015,9,500.0,1168.4454073704073,0.4730199632665704,0.5,371,30
2015-10,2015,10,488.0,1164.887049062049,0.4648636417267607,0.5,370,30
2015-11,2015,11,540.0,1157.0735375735376,0.5091189822000056,0.5091189822000056,369,30
2015-12,2015,12,595.0,1136.4481601731602,0.5620939254765583,0.5620939254765583,368,30
2016-01,2016,1,634.0,1118.0851398601399,0.6025851362773194,0.6025851362773194,367,31
2016-02,2016,2,603.0,1115.1492424242426,0.5785297603424444,0.5785297603424444,367,31
2016-03,2016,3,599.0,1114.8479603729604,0.5753806425171145,0.5753806425171145,367,31
2016-04,2016,4,594.0,1114.6236013986015,0.571370422245114,0.571370422245114,367,31
2016-05,2016,5,599.0,1114.9569347319348,0.5753290343202376,0.5753290343202376,367,31
2016-06,2016,6,599.0,1114.937703962704,0.5753381409763687,0.5753381409763687,367,31
2016-07,2016,7,601.0,1114.8736013986013,0.5770147603775293,0.5770147603775293,367,31
2016-08,2016,8,606.0,1115.0347735597734,0.581053328977229,0.581053328977229,367,30
2016-09,2016,9,627.0,1117.7925851925852,0.5969817921703228,0.5969817921703228,368,30
2016-10,2016,10,671.0,1120.4315573315575,0.6317437429148193,0.6317437429148193,369,30
2016-11,2016,11,789.0,1124.5639665889667,0.725972692530156,0.725972692530156,370,30
2016-12,2016,12,826.0,1113.682251082251,0.7629674069751599,0.7629674069751599,371,30
2017-01,2017,1,786.0,1099.034743034743,0.7389277126011747,0.7389277126011747,372,31
2017-02,2017,2,786.0,1096.5182595182596,0.7404818045624477,0.7404818045624477,372,31
2017-03,2017,3,790.0,1096.545732045732,0.7438077594229254,0.7438077594229254,372,31
2017-04,2017,4,791.0,1096.4248529248528,0.7447187324985831,0.7447187324985831,372,31
2017-05,2017,5,788.0,1096.4962814962814,0.7421669534062483,0.7421669534062483,372,31
2017-06,2017,6,788.0,1096.479797979798,0.7421771780011228,0.7421771780011228,372,31
2017-07,2017,7,788.0,1096.424852924853,0.7422112620187897,0.7422112620187897,372,31
2017-08,2017,8,783.0,1096.2058053058054,0.7381672920190054,0.7381672920190054,372,30
2017-09,2017,9,754.0,1096.002081252081,0.7140455801765471,0.7140455801765471,371,30
2017-10,2017,10,740.0,1095.5858863358862,0.702584406189629,0.702584406189629,370,30
2017-11,2017,11,687.0,1093.551936951937,0.659376417259077,0.659376417259077,369,30
2017-12,2017,12,645.0,1078.1779664779665,0.6323323141300083,0.6323323141300083,368,30
2018-01,2018,1,772.0,1072.4302197802199,0.7437542851492368,0.7437542851492368,367,31
2018-02,2018,2,778.0,1070.6492673992675,0.7500111471906341,0.7500111471906341,367,31
2018-03,2018,3,772.0,1070.273076923077,0.745125233755435,0.745125233755435,367,31
2018-04,2018,4,775.0,1070.3683150183151,0.7476278952291247,0.7476278952291247,367,31
2018-05,2018,5,773.0,1070.2968864468864,0.7459645583186133,0.7459645583186133,367,31
2018-06,2018,6,772.0,1070.215934065934,0.7451616189930195,0.7451616189930195,367,31
2018-07,2018,7,774.0,1070.3016483516485,0.7468160035756723,0.7468160035756723,367,31
2018-08,2018,8,775.0,1070.178434065934,0.7477492103146194,0.7477492103146194,367,30
2018-09,2018,9,776.0,1071.1188436563436,0.7480026512638506,0.7480026512638506,368,30
2018-10,2018,10,783.0,1072.3226273726273,0.7532056273441996,0.7532056273441996,369,30
2018-11,2018,11,694.0,1066.562787212787,0.6806320317289277,0.6806320317289277,370,30
2018-12,2018,12,644.0,1052.19507992008,0.6457239862989228,0.6457239862989228,371,30
2019-01,2019,1,507.0,1038.538399100899,0.5331396819636004,0.5331396819636004,372,31
2019-02,2019,2,519.0,1037.7300657675657,0.5440657838134864,0.5440657838134864,372,31
2019-03,2019,3,522.0,1037.588399100899,0.5467706953513257,0.5467706953513257,372,31
2019-04,2019,4,519.0,1037.4842324342324,0.5441833674259653,0.5441833674259653,372,31
2019-05,2019,5,519.0,1037.4217324342324,0.5442132696684618,0.5442132696684618,372,31
2019-06,2019,6,522.0,1037.538399100899,0.5467947284167495,0.5467947284167495,372,31
2019-07,2019,7,525.0,1037.800899100899,0.5493052435570063,0.5493052435570063,372,31
2019-08,2019,8,521.0,1037.4430559636442,0.5459613971390308,0.5459613971390308,372,31
2019-09,2019,9,522.0,1037.8210610467963,0.5466588915376197,0.5466588915376197,372,31
2019-10,2019,10,522.0,1038.389578558696,0.5463858873229568,0.5463858873229568,372,31
2019-11,2019,11,610.0,1038.0219219505984,0.6238895633776913,0.6238895633776913,372,31
2019-12,2019,12,713.0,1030.6879916651974,0.7190312499937945,0.7190312499937945,372,31
2020-01,2020,1,776.0,1022.4208333333333,0.7804559341601672,0.7804559341601672,372,31
2020-02,2020,2,756.0,1020.5311274509804,0.7639234457924037,0.7639234457924037,372,31
2020-03,2020,3,754.0,1020.288480392157,0.7623036520924122,0.7623036520924122,372,31
2020-04,2020,4,753.0,1020.1377450980392,0.761513486830445,0.761513486830445,372,31
2020-05,2020,5,753.0,1020.0825980392158,0.7615509798056297,0.7615509798056297,372,31
2020-06,2020,6,753.0,1020.1855392156863,0.7614809959046963,0.7614809959046963,372,31
2020-07,2020,7,751.0,1020.2995098039216,0.7596182918521001,0.7596182918521001,372,31
2020-08,2020,8,767.0,1020.915114379085,0.7734751622831514,0.7734751622831514,372,31
2020-09,2020,9,763.0,1020.9583566760039,0.7698769493623903,0.7698769493623903,372,31
2020-10,2020,10,773.0,1022.0365339725633,0.7780495318714347,0.7780495318714347,372,31
2020-11,2020,11,748.0,1020.1471028154853,0.7570434256969959,0.7570434256969959,372,31
2020-12,2020,12,718.0,1011.8508241758243,0.7357102069932399,0.7357102069932399,372,31
2021-01,2021,1,720.0,1004.6445324283561,0.7423202450451478,0.7423202450451478,372,31
2021-02,2021,2,745.0,1004.3536827551534,0.7651534224904154,0.7651534224904154,372,31
2021-03,2021,3,762.0,1005.0824409250879,0.7800323017334359,0.7800323017334359,372,31
2021-04,2021,4,763.0,1005.004009552539,0.7809926412388891,0.7809926412388891,372,31
2021-05,2021,5,763.0,1004.9549899446959,0.7810272887615034,0.7810272887615034,372,31
2021-06,2021,6,769.0,1005.379826546003,0.7861551107870111,0.7861551107870111,372,31
2021-07,2021,7,778.0,1005.9811337355454,0.7938652597395403,0.7938652597395403,372,31
2021-08,2021,8,770.0,1006.0936208356487,0.7865518646990468,0.7865518646990468,372,30
2021-09,2021,9,762.0,1005.7085030165913,0.7795906404339784,0.7795906404339784,371,30
2021-10,2021,10,753.0,1006.1211207222431,0.7711632876542783,0.7711632876542783,370,30
2021-11,2021,11,742.0,1003.6833711824811,0.7628999602466469,0.7628999602466469,369,30
2021-12,2021,12,803.0,999.4642768308404,0.8213090857329713,0.8213090857329713,368,30
2022-01,2022,1,742.0,989.3731725146199,0.7729215490559549,0.7729215490559549,367,31
2022-02,2022,2,708.0,987.3234649122808,0.7431091354817629,0.7431091354817629,367,31
2022-03,2022,3,690.0,987.028143274854,0.7267521129857715,0.7267521129857715,367,31
2022-04,2022,4,691.0,987.0105994152048,0.7276837966672506,0.7276837966672506,367,31
2022-05,2022,5,691.0,986.966739766082,0.7277131590707414,0.7277131590707414,367,31
2022-06,2022,6,684.0,986.9784356725147,0.7212654586978429,0.7212654586978429,367,31
2022-07,2022,7,680.0,987.3059210526317,0.7173694034930613,0.7173694034930613,367,31
2022-08,2022,8,683.0,987.5591374269006,0.7199608490739463,0.7199608490739463,367,29
2022-09,2022,9,699.0,987.1135362917097,0.734973830539813,0.734973830539813,367,29
2022-10,2022,10,700.0,986.7463616148214,0.7361423311427163,0.7361423311427163,367,29
2022-11,2022,11,777.0,987.8623212442873,0.8061681913910717,0.8061681913910717,367,29
2022-12,2022,12,741.0,982.2675733451275,0.7770721591524679,0.7770721591524679,367,29
2023-01,2023,1,842.0,978.5031303749571,0.8734327916809108,0.8734327916809108,367,31
2023-02,2023,2,851.0,977.1083935328518,0.8829194960414116,0.8829194960414116,367,31
2023-03,2023,3,859.0,977.2426040591675,0.8902358636637498,0.8902358636637498,367,31
2023-04,2023,4,862.0,977.3768145854832,0.8929095066614422,0.8929095066614422,367,31
2023-05,2023,5,864.0,977.4373409012728,0.894715602852243,0.894715602852243,367,31
2023-06,2023,6,865.0,977.4978672170623,0.8955934200523112,0.8955934200523112,367,31
2023-07,2023,7,859.0,977.4926040591674,0.8900293110015066,0.8900293110015066,367,31
2023-08,2023,8,880.0,978.7733058135534,0.908439238085277,0.908439238085277,367,30
2023-09,2023,9,890.0,980.7577202810947,0.9160239907816808,0.9160239907816808,368,30
2023-10,2023,10,968.0,985.76328320802,0.9836398195787796,0.9836398195787796,369,30
2023-11,2023,11,1136.0,996.6965772273821,1.12702093328749,1.12702093328749,370,30
2023-12,2023,12,1244.0,997.5443166740381,1.224551919755562,1.224551919755562,371,30
2024-01,2024,1,1342.0,999.9969507101086,1.3109127248662913,1.3109127248662913,372,30
2024-02,2024,2,1398.0,1001.4017126148706,1.360085046938554,1.360085046938554,371,30
2024-03,2024,3,1399.0,1001.5707602339181,1.3607841221944637,1.3607841221944637,370,30
2024-04,2024,4,1398.0,1001.6445697577277,1.3597852166869375,1.3597852166869375,369,30
2024-05,2024,5,1401.0,1001.8421888053468,1.3622640476558927,1.3622640476558927,368,30
2024-06,2024,6,1409.0,1002.277903091061,1.368983262540589,1.368983262540589,367,30
2024-07,2024,7,1421.0,1002.8445697577276,1.379160800813602,1.379160800813602,366,30
2024-08,2024,8,1398.0,1002.9103706235285,1.3582246027418423,1.3582246027418423,365,22
2024-09,2024,9,1411.0,1001.0332535885168,1.3723472883996088,1.3723472883996088,356,22
2024-10,2024,10,1361.0,989.9460355434042,1.3404333355564737,1.3404333355564737,347,22
2024-11,2024,11,1221.0,967.1610541505279,1.2378637646700204,1.2378637646700204,338,22
2024-12,2024,12,1313.0,935.1471177944862,1.3650233630660902,1.3650233630660902,329,22
