scenario,ano,mes,n_municipios,actual,pred,abs_error,sum_abs_error,mae,wape
v2_partial_observed_rows,2025,1,27,35.0,51.22065870075513,16.22065870075513,38.3402052618959,1.4200076022924408,1.0954344360541686
v2_partial_observed_rows,2025,2,27,16.0,7.660939064018998,8.339060935981003,18.849109569263263,0.6981151692319727,1.178069348078954
v2_partial_observed_rows,2025,3,27,5.0,2.595855385328752,2.404144614671248,6.32958446565619,0.2344290542835626,1.265916893131238
v2_partial_observed_rows,2025,4,27,4.0,1.392898011639818,2.6071019883601823,5.266270919672562,0.19504707109898375,1.3165677299181404
v2_partial_observed_rows,2025,5,27,11.0,2.9124231152468925,8.087576884753108,13.532541839345123,0.5012052533090786,1.2302310763041022
v2_partial_observed_rows,2025,6,27,10.0,4.7485159487721065,5.2514840512278935,12.215974109426984,0.4524434855343327,1.2215974109426984
v2_partial_observed_rows,2025,7,27,26.0,12.384680146971426,13.615319853028574,28.40717335303429,1.0521175315938625,1.0925835905013188
v2_partial_observed_rows,2025,8,27,38.0,40.511183781230294,2.5111837812302937,40.14572034098886,1.4868785311477355,1.0564663247628647
v2_partial_observed_rows,2025,9,27,102.0,103.15477282455254,1.1547728245525377,57.76243053636832,2.139349279124753,0.5662983385918463
v2_partial_observed_rows,2025,10,17,139.0,106.06500200849041,32.93499799150959,59.08402181287038,3.4755306948747284,0.42506490512856393
v2_partial_observed_rows,2025,11,17,221.0,135.76075916611177,85.23924083388823,98.8083432843385,5.8122554873140295,0.44709657594723307
v2_partial_observed_rows,2025,12,17,79.0,83.0908363568784,4.090836356878398,40.01912644626907,2.3540662615452392,0.506571220838849
v2_partial_observed_rows,2026,1,9,26.0,13.042590472627388,12.957409527372612,20.126627091967254,2.2362918991074725,0.7741010419987405
v2_partial_observed_rows,2026,2,5,4.0,0.9497031897544216,3.0502968102455785,3.556805178114603,0.7113610356229205,0.8892012945286507
v2_partial_observed_rows,2026,3,2,0.0,0.0633135459836281,0.0633135459836281,0.0633135459836281,0.03165677299181405,
v2_partial_observed_rows,2026,4,2,2.0,0.0,2.0,2.0,1.0,1.0
public_aqua_full_31,2025,1,31,38.0,64.26324917338252,26.26324917338252,48.38279573452329,1.560735346274945,1.2732314666979814
public_aqua_full_31,2025,2,31,17.0,8.863896437707933,8.136103562292067,20.418931483115916,0.6586752091327714,1.2011136166538774
public_aqua_full_31,2025,3,31,6.0,3.4189314831159168,2.5810685168840832,6.759762551803537,0.21805685650979154,1.1266270919672563
public_aqua_full_31,2025,4,31,4.0,1.519525103607074,2.480474896392926,5.392898011639818,0.17396445198838123,1.3482245029099544
public_aqua_full_31,2025,5,31,13.0,3.1023637531977757,9.897636246802225,15.595855385328754,0.5030921092041534,1.1996811834868273
public_aqua_full_31,2025,6,31,11.0,6.26804105237918,4.73195894762082,13.595855385328752,0.43857598017189525,1.2359868532117047
public_aqua_full_31,2025,7,31,31.0,15.297103262218318,15.702896737781682,30.621377329754647,0.9877863654759563,0.9877863654759563
public_aqua_full_31,2025,8,31,52.0,47.11991200961662,4.88008799038338,53.41007723527433,1.7229057172669138,1.0271168699091218
public_aqua_full_31,2025,9,31,118.0,111.81968383202623,6.180316167973771,68.67705546236327,2.2153888858826862,0.5820089445962989
public_aqua_full_31,2025,10,31,359.0,327.0989065238779,31.901093476122128,207.66786083529894,6.698963252751579,0.5784620078977686
public_aqua_full_31,2025,11,31,570.0,492.88013296033057,77.11986703966943,306.7423660047847,9.89491503241241,0.5381445017627802
public_aqua_full_31,2025,12,31,352.0,410.33264300976293,58.33264300976293,243.22792638451958,7.846062141436115,0.6909884272287488
public_aqua_full_31,2026,1,31,94.0,64.26324917338252,29.73675082661748,64.43611429105893,2.0785843319696427,0.6854905775644566
public_aqua_full_31,2026,2,31,22.0,8.863896437707933,13.136103562292067,21.113610356229206,0.6810842050396518,0.9597095616467821
public_aqua_full_31,2026,3,31,2.0,3.4189314831159168,1.4189314831159168,4.405914747377867,0.14212628217347958,2.2029573736889336
public_aqua_full_31,2026,4,31,2.0,1.519525103607074,0.48047489639292595,3.519525103607074,0.1135330678582927,1.759762551803537
public_aqua_full_31,2026,5,31,1.0,3.1023637531977757,2.1023637531977757,3.9757366612305196,0.12824956971711354,3.9757366612305196
public_aqua_full_31,2026,6,31,10.0,6.26804105237918,3.7319589476208197,11.329584465656188,0.36547046663407057,1.1329584465656188
public_aqua_full_31,2026,7,31,9.0,15.297103262218318,6.297103262218318,20.524323974676737,0.662074966925056,2.2804804416307487
