geocodigo,municipio_ibge,n,volume_real,wape,mae,flag_regressao
2307007,Jaguaruana,19,2.0,3.6597053400166644,0.38523214105438575,False
2311207,Potengi,19,8.0,1.9881868565604883,0.8371313080254688,False
2311108,Porteiras,19,3.0,1.6349751651258622,0.2581539734409256,False
2305100,Guaramiranga,12,2.0,1.2249480715539895,0.20415801192566493,False
2310605,Penaforte,24,7.0,1.0449068118842668,0.30476448679957785,False
2304400,Fortaleza,24,8.0,1.0234247660073525,0.34114158866911753,False
2300200,Acaraú,24,75.0,0.8732761712423269,2.7289880351322715,False
2300101,Abaiara,24,38.0,0.8715051002840334,1.3798830754497196,False
2311306,Quixadá,24,88.0,0.8021974800543016,2.9413907601991056,False
2306900,Jaguaribe,24,41.0,0.7916637374349962,1.3524255514514518,False
2302701,Campos Sales,24,48.0,0.7787473852601057,1.5574947705202113,False
2302503,Brejo Santo,19,28.0,0.7433547147309821,1.0954701059193421,False
2301901,Barbalha,24,56.0,0.7430486311633925,1.733780139381249,False
2309201,Nova Olinda,19,7.0,0.6985576038608394,0.257363327738204,False
2301604,Assaré,24,77.0,0.683575247192435,2.193137251409062,False
2311959,Salitre,19,50.0,0.6792680539078958,1.7875475102839364,False
2313302,Tauá,24,255.0,0.6750084886841857,7.1719651922694725,False
2304202,Crato,19,32.0,0.6736823436244321,1.1346228945253594,False
2308708,Morada Nova,24,52.0,0.6497662935242019,1.4078269693024374,False
2305506,Iguatu,24,114.0,0.6426279577577407,3.0524827993492685,False
2312106,Santana do Cariri,24,138.0,0.6215551826727753,3.573942300368458,False
2307205,Jati,19,7.0,0.5860162733630777,0.2159007322916602,False
2313401,Tianguá,24,88.0,0.5716855351968062,2.0961802957216227,False
2308401,Missão Velha,24,119.0,0.5201364183146657,2.5790097408102173,False
2301307,Araripe,24,179.0,0.4905293372968454,3.658531307338972,False
2307304,Juazeiro do Norte,19,14.0,0.4866685739917097,0.3585978966254703,False
2312908,Sobral,24,194.0,0.46003072656773103,3.7185817064224924,False
2306405,Itapipoca,24,232.0,0.4560407810697208,4.408394217007301,False
2307106,Jardim,24,29.0,0.4459005915079329,0.5387965480720855,False
2311405,Quixeramobim,24,261.0,0.4317428571119896,4.695203571092887,False
2304103,Crateús,24,470.0,0.2985989160544488,5.847562106066289,False
