ano,coverage,interval_width,n,regime
2020,0.9539170506912442,1.9853215945220972,217,wet
2020,0.9935483870967742,16.836380227647165,155,dry
2021,0.9400921658986175,2.0385511263118197,217,wet
2021,0.9666666666666667,15.552911812188897,150,dry
2022,0.9539170506912442,2.065773010218184,217,wet
2022,0.9517241379310345,15.616788777661617,145,dry
2023,0.9447004608294931,2.110577802036095,217,wet
2023,0.92,16.972102804438286,150,dry
2024,0.9095238095238095,2.2902696486429654,210,wet
2024,0.8727272727272727,19.287799491040314,110,dry
